epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,lr
1,0.08886336168945044,0.9730553593819812,0.9955186777290468,0.09795853644489938,0.9837216032412097,0.9973943023564735,9.990232305719944e-06
2,0.025399703350938684,0.9944510903247193,0.9994751598175352,0.12500468318945263,0.9831789900159167,0.9977444505425148,9.960967771506666e-06
3,0.014997226656702441,0.9969012582332848,0.9997630156134779,0.08378923583972409,0.9868325857328896,0.9951685386565587,9.91232189110701e-06
4,0.010951264197897298,0.9977660233774844,0.9998224987790401,0.04998199479252223,0.9912096657502533,0.9953966283098203,9.844486647586724e-06
5,0.008423485140754604,0.9982704697116008,0.9999058022569386,0.11859749286525556,0.9887136449139053,0.9923789811553014,9.757729755661012e-06
6,0.006871060127206265,0.998587550264474,0.9999277028562138,0.14415655281080375,0.9846983070467371,0.996650671253361,9.652393605146846e-06
7,0.006210641913111688,0.9987821224219189,0.9999580960799485,0.20120570056386436,0.983613080596151,0.9926240037539528,9.5288939097068e-06
8,0.004778545110429869,0.9991136157271954,0.9999313029803348,0.20418258662104208,0.9512733323686876,0.9957579988250473,9.387718066217127e-06
9,0.004436504578526606,0.9990847902223887,0.999972262675345,0.20029010816032042,0.9831066415858776,0.9851360773365879,9.229423231234976e-06
10,0.004068576704155482,0.9992289177464221,0.9999265207832628,0.07701049237854146,0.9905947040949211,0.995707443383611,9.054634122155991e-06
11,0.003772222259126907,0.9993514261418504,0.9999319488049205,0.1624647772933718,0.9827810736507018,0.980091192835397,8.864040551740158e-06
